"","EG_node1","EG_node2","Source"
"229","4281","4281","ppi"
"230","4281","5515","ppi"
"231","3636","2885","ppi"
"232","8664","8669","ppi"
"233","8664","8666","ppi"
"234","8664","10480","ppi"
"235","8667","8666","ppi"
"236","8667","3646","ppi"
"237","8667","10480","ppi"
"238","8667","8669","ppi"
"239","8664","8667","ppi"
"240","8665","8667","ppi"
"241","8667","51386","ppi"
"242","8651","3717","ppi"
"243","8651","5295","ppi"
"244","8651","3716","ppi"
"245","4097","4097","ppi"
"246","4097","4779","ppi"
"247","1665","23451","ppi"
"248","1665","10969","ppi"
"249","8853","2885","ppi"
"250","5709","5708","ppi"
"251","5709","5716","ppi"
"252","5709","5719","ppi"
"253","1613","1613","ppi"
"254","9738","79959","ppi"
"255","6885","10454","ppi"
"256","6885","6885","ppi"
"257","6885","51701","ppi"
"258","6885","5599","ppi"
"259","6885","331","ppi"
"260","6885","4217","ppi"
"261","6885","54756","ppi"
"262","6885","8915","ppi"
"263","9521","3376","ppi"
"264","8767","8767","ppi"
"265","8767","7189","ppi"
"266","6885","8767","ppi"
"267","9129","9129","ppi"
"268","9129","6638","ppi"
"269","10542","55004","ppi"
"270","10542","57521","ppi"
"271","10018","598","ppi"
"272","10018","4170","ppi"
"273","10018","581","ppi"
"274","10018","10018","ppi"
"275","10018","8945","ppi"
"276","10018","1154","ppi"
"277","10253","2885","ppi"
"278","10253","23390","ppi"
"279","10253","5515","ppi"
"280","10252","2885","ppi"
"281","10253","10252","ppi"
"282","27095","79090","ppi"
"283","27095","22878","ppi"
"284","27095","51693","ppi"
"285","8440","3987","ppi"
"286","8440","58480","ppi"
"287","8440","5586","ppi"
"288","8440","1796","ppi"
"289","8440","10006","ppi"
"290","2954","2954","ppi"
"291","10758","7189","ppi"
"292","1147","10758","ppi"
"293","6885","10758","ppi"
"294","10758","10758","ppi"
"295","10758","3320","ppi"
"296","5565","5563","ppi"
"297","5565","5565","ppi"
"298","5565","2992","ppi"
"299","10253","5565","ppi"
"300","5565","8676","ppi"
"301","5565","54971","ppi"
"302","5565","1460","ppi"
"303","164","1213","ppi"
"304","10228","6810","ppi"
"305","10228","63908","ppi"
"306","8773","10228","ppi"
"307","6449","6449","ppi"
"308","6449","6860","ppi"
"309","6449","4832","ppi"
"310","6449","114897","ppi"
"311","6449","3320","ppi"
"312","6801","7203","ppi"
"313","6801","10574","ppi"
"314","6801","6950","ppi"
"315","6801","29015","ppi"
"316","9521","6801","ppi"
"317","10749","5436","ppi"
"318","10749","6092","ppi"
"319","10749","8569","ppi"
"320","10749","8899","ppi"
"321","10749","7534","ppi"
"322","5001","4998","ppi"
"323","5001","5001","ppi"
"324","5001","5000","ppi"
"325","23295","7321","ppi"
"326","9839","4087","ppi"
"327","9839","4086","ppi"
"328","9839","1487","ppi"
"329","23396","163","ppi"
"330","23396","27131","ppi"
"331","7813","5347","ppi"
"332","7547","2737","ppi"
"333","8473","10724","ppi"
"334","10174","5062","ppi"
"335","1729","387","ppi"
"336","1729","9123","ppi"
"337","1729","83871","ppi"
"338","1729","79670","ppi"
"339","5810","3364","ppi"
"340","9021","3717","ppi"
"341","3717","5335","ppi"
"342","3717","6772","ppi"
"343","3717","6777","ppi"
"344","3717","3717","ppi"
"345","6643","6642","ppi"
"346","6643","6643","ppi"
"347","6643","27131","ppi"
"348","8813","54344","ppi"
"349","10043","1213","ppi"
"350","8721","6908","ppi"
"351","4983","387","ppi"
"352","4983","998","ppi"
"353","6907","27101","ppi"
"354","5201","5204","ppi"
"355","5201","5203","ppi"
"356","5201","7411","ppi"
"357","23046","84128","ppi"
"358","23046","29079","ppi"
"359","23046","8266","ppi"
"360","23046","6883","ppi"
"361","23046","64175","ppi"
"362","9722","2534","ppi"
"363","863","862","ppi"
"364","9889","3320","ppi"
"365","23363","9820","ppi"
"366","9810","9810","ppi"
"367","261734","7266","ppi"
"368","4849","9125","ppi"
"369","26039","26039","ppi"
"370","26039","10262","ppi"
"371","9525","27183","ppi"
"372","9525","10015","ppi"
"373","1729","55660","ppi"
"374","55660","55660","ppi"
"375","55660","10921","ppi"
"376","6867","51072","ppi"
"377","6867","8019","ppi"
"378","6867","9821","ppi"
"379","6867","8945","ppi"
"380","10651","10971","ppi"
"381","10651","84303","ppi"
"382","10651","5499","ppi"
"383","4094","4094","ppi"
"384","4094","2353","ppi"
"385","11104","440193","ppi"
"386","11104","7398","ppi"
"387","11104","57701","ppi"
"388","11104","51026","ppi"
"389","11104","9113","ppi"
"390","10174","11104","ppi"
"391","10613","267","ppi"
"392","4722","4535","ppi"
"393","4722","4728","ppi"
"394","4722","4723","ppi"
"395","4722","4719","ppi"
"396","4722","51295","ppi"
"397","1203","26270","ppi"
