from	to
5451	6688
5451	7020
5451	5328
5451	595
5451	213
5451	3630
5451	7080
5451	8996
5451	5449
5451	6707
5451	11336
5451	7150
5451	7432
5451	5669
5451	10875
5451	1831
5451	1645
5451	3122
5451	1594
5451	3560
5451	7980
5451	3687
5451	7412
5451	5730
5451	973
5451	6590
5451	6617
5451	1178
5451	4435
5452	5966
5452	6688
5452	8996
5452	7432
5452	3122
5452	3112
5452	3687
5452	973
5452	933
5460	5914
5460	7432
5914	5915
5914	5916
5914	6688
5914	6932
5914	7490
5914	5328
5914	5327
5914	6319
5914	51129
5914	3383
5914	8900
5914	374
5914	6121
5914	5243
5914	231
5914	213
5914	250
5914	8209
5914	1012
5914	1026
5914	1071
5914	1382
5914	1588
5914	1592
5914	3292
5914	3630
5914	8570
5914	3880
5914	4582
5914	4585
5914	4586
5914	7080
5914	10957
5914	5449
5914	5744
5914	5920
5914	6279
5914	6280
5914	6439
5914	6528
5914	6594
5914	6595
5914	6609
5914	7038
5914	7051
5914	7173
5914	54575
5914	3569
5915	5916
5915	5327
5915	3383
5915	595
5915	6121
5915	250
5915	1012
5915	1071
5915	1382
5915	3630
5915	8570
5915	3880
5915	7080
5915	8996
5915	10957
5915	5449
5915	5744
5915	5920
5915	6279
5915	6280
5915	6439
5915	6528
5915	6594
5915	6595
5915	7038
5915	7051
5915	7173
5915	7015
5916	3383
5916	595
5916	6121
5916	250
5916	1012
5916	1071
5916	1382
5916	1592
5916	3630
5916	8570
5916	7080
5916	10957
5916	5449
5916	5744
5916	5920
5916	6279
5916	6280
5916	6439
5916	6528
5916	6594
5916	6595
5916	7038
5916	7051
5916	7173
5933	595
5966	6688
5966	2152
5966	6352
5966	3383
5966	1012
5966	1956
5966	3569
5966	1465
5966	3559
5966	959
861	6688
8607	6932
6688	6352
6688	3383
6688	8209
6688	958
6688	1012
6688	6280
6688	949
6688	4057
6688	4311
6688	4321
6688	4353
6688	4481
6688	2322
6688	1991
6688	2623
6688	4846
6688	3687
6688	10148
6688	4332
6688	6916
6688	9332
6688	695
6688	6556
6688	933
6688	567
6688	1178
6688	950
6776	30837
6776	8731
6776	9655
6776	595
6776	5292
6776	1447
6776	958
6776	1956
6776	4582
6776	3569
6776	11336
6776	2322
6776	1056
6776	3559
6776	7078
6776	3718
6776	5551
6776	754
6932	595
6932	8061
6932	4316
6932	332
7020	2152
7020	5327
7020	4137
7020	2670
7020	5292
7020	5443
7020	4316
7020	5243
7020	348
7020	1026
7020	1382
7020	1956
7020	3292
7020	8996
7020	6609
7020	7173
7020	1113
7020	1081
7020	2689
7020	4056
7020	4907
7020	5329
7020	6573
7020	6532
7020	11336
7020	328
7020	43
7020	7150
7020	7433
7020	5179
7020	3077
7020	5669
7020	6647
7020	7166
7020	2668
7020	2194
7020	7077
7020	2006
7020	891
7020	3481
7020	1645
7020	89874
7020	4200
7020	4953
7020	56125
7020	5046
7020	5980
7020	5055
7020	6723
7020	6725
7020	7076
7020	2908
7020	1655
7020	3162
7020	1621
7020	1583
7020	1139
7020	9620
7020	683
7020	593
7020	5175
7020	875
7020	3560
7020	768
7020	4846
7020	3315
7020	142
7020	6916
7020	6948
7020	8174
7020	6556
7020	5730
7020	3868
7020	3485
7020	973
7020	933
7020	6590
7020	7343
7020	4435
7020	1576
7020	1509
7391	2205
7391	1508
7391	345
7391	595
7391	5443
7391	351
7391	213
7391	348
7391	1588
7391	1543
7391	3630
7391	3991
7391	5284
7391	3569
7391	1113
7391	1081
7391	2689
7391	6573
7391	796
7391	328
7391	5669
7391	2194
7391	1551
7391	1056
7391	891
7391	943
7391	3162
7391	7015
7391	790
7391	124872
7391	6948
7391	6617
7391	1048
7391	567
7391	4435
7391	1509
7392	2205
7392	1508
7392	345
7392	351
7392	213
7392	348
7392	1588
7392	3630
7392	3991
7392	5284
7392	1113
7392	1081
7392	2689
7392	6573
7392	796
7392	5669
7392	1056
7392	891
7392	943
7392	3162
7392	875
7392	7015
7392	790
7392	124872
7392	6948
7392	1048
7392	567
7392	4435
7392	1509
7490	5243
7490	1026
7490	1956
7490	8996
7490	2516
7490	6647
7490	3481
7490	89874
7490	4953
7490	1594
7490	7015
7490	3560
