from	to
6777	3559
6777	7078
6777	3718
6777	5551
6777	754
6773	598
6773	4170
6773	4089
6773	6775
6773	51588
6773	122809
6773	1154
6773	10401
6773	316
6773	4609
6773	1387
6773	2033
6773	6774
6773	596
6773	7297
6773	8554
6773	9063
6773	30837
6773	9306
6773	9655
6773	5771
6773	595
6773	2670
6773	5292
6773	348
6773	3718
3099	1387
3099	2033
3099	405
3099	3091
3099	6667
3099	7020
7332	7157
7332	4609
7332	6667
7332	2099
7332	7020
4088	598
4088	4089
4088	7048
4088	7040
4088	3725
4088	7422
4088	1499
4088	7042
4088	7043
4088	4609
4088	1387
4088	2033
4088	51176
4088	5054
4088	6667
4088	367
4088	1051
4088	1875
4088	5933
4088	5972
4088	1906
4088	1030
4088	374
4088	231
4088	338
4088	1026
4088	4318
4088	8996
4088	5744
4088	7432
4088	8288
4088	7076
4088	7134
4088	4322
6670	4089
6670	7048
6670	7040
6670	7124
6670	316
6670	4609
6670	1277
6670	2099
6670	5241
6670	5460
6670	7391
6670	7392
6670	8731
6670	2152
6670	1508
6670	595
6670	1030
6670	354
6670	335
6670	9308
6670	1026
6670	1543
6670	1592
6670	3292
6670	3818
6670	3991
6670	4586
6670	8996
6670	4014
6670	4056
6670	3484
6670	7077
6670	1551
6670	929
6670	9156
6670	1583
6670	768
6670	4846
6670	7134
6670	695
6670	3868
6670	1736
5467	5970
5467	7422
5467	1647
5467	4609
5467	51176
5467	6934
5467	83439
5467	5054
5467	3728
5467	4602
5467	6932
5467	2205
5467	51129
5467	7350
5467	595
5467	335
5467	3988
5467	8996
5467	949
5467	10648
5467	10501
5467	7352
598	6775
598	4791
598	5970
598	7157
598	6654
598	6774
598	4602
598	4790
598	5241
598	5966
598	6776
4170	6775
4170	2002
4170	1386
4170	1385
4170	4609
4170	6774
2314	10401
2314	1385
2314	6667
2314	466
2314	2114
2314	2118
2314	6688
2314	7020
4089	4087
4089	5743
4089	7048
4089	7040
4089	3725
4089	1499
4089	4609
4089	1387
4089	2033
4089	51176
4089	6934
4089	83439
4089	5054
4089	6667
4089	367
4089	1051
4089	1875
4089	2099
4089	2113
4089	5933
4089	6932
4089	1906
4089	1030
4089	3398
4089	374
4089	231
4089	338
4089	1026
4089	7080
4089	5744
4089	7432
4089	8288
4089	7076
4089	7134
6775	51588
6775	122809
6775	1154
6775	10401
6775	316
6775	4609
6775	1387
6775	2033
6775	6774
6775	596
6775	7297
6775	8554
6775	9063
6775	30837
6775	9306
6775	9655
6775	5771
6775	595
6775	2670
6775	5292
6775	3559
6775	3718
6775	5551
6775	754
4087	7048
4087	7040
4087	7042
4087	7043
4087	4609
4087	1387
4087	2033
4087	5054
4087	6667
4087	1875
4087	5933
4087	1030
4087	1026
120892	4892
51588	4609
51588	6774
51588	6776
51588	1030
122809	6774
122809	7297
122809	6776
1154	6774
1154	6776
11232	1385
11232	4609
11232	6667
11232	466
10401	7157
10401	4609
10401	6774
10401	6776
10401	1030
5743	4791
5743	5970
5743	5465
5743	7157
5743	1386
5743	3725
5743	1385
5743	6667
5743	367
5743	466
5743	1051
5743	1052
5743	2113
5743	2118
5743	4602
5743	4782
5743	4790
5743	5915
5743	5966
5743	7020
5743	7391
5743	7392
4791	5970
4791	4843
4791	3725
4791	329
4791	596
4791	6667
4791	3383
4791	595
4791	1956
4791	330
4791	7412
4791	959
5970	5971
5970	5465
5970	7157
5970	4843
5970	3552
5970	3553
5970	7124
5970	5228
5970	7422
5970	7423
5970	7424
5970	1499
5970	4609
5970	329
5970	596
5970	3091
5970	3558
5970	268
5970	5054
5970	6667
5970	1277
5970	367
5970	675
5970	1958
5970	4602
5970	5241
5970	7490
5970	1906
5970	5328
5970	2152
5970	6352
5970	1508
5970	345
5970	3383
5970	595
5970	374
5970	231
5970	1012
5970	1956
5970	4318
5970	8996
5970	5284
5970	3569
5970	189
5970	183
5970	6401
5970	11344
5970	1465
5970	929
5970	3559
5970	330
5970	4314
5970	3315
5970	10148
5970	7412
5970	959
5970	2
5971	3725
5971	4790
5971	3383
5971	958
5971	1026
5971	5284
5971	6401
5971	929
5465	7040
5465	3725
5465	7422
5465	1647
5465	1385
5465	4609
5465	5054
5465	4602
5465	4790
5465	1906
5465	2205
5465	345
5465	6319
5465	51129
5465	7350
5465	595
5465	335
5465	338
5465	1543
5465	2805
5465	3157
5465	3988
5465	3991
5465	4318
5465	8996
5465	5742
5465	56729
5465	10648
5465	10501
5465	7352
7157	4843
7157	7040
7157	3553
7157	7124
7157	2064
7157	3725
7157	7422
7157	1647
7157	1499
7157	4609
7157	1387
7157	2033
7157	6774
7157	329
7157	596
7157	3091
7157	3558
7157	268
7157	5054
7157	675
7157	1875
7157	1958
7157	2099
7157	2113
7157	2114
7157	4782
7157	4790
7157	7849
7157	5371
7157	7391
7157	7490
7157	595
7157	7037
7157	8900
7157	354
7157	5243
7157	1012
7157	1026
7157	1956
7157	3818
7157	8996
7157	5742
7157	5744
7157	6279
7157	6280
7157	6609
7157	7051
7157	3569
7157	1113
7157	1081
7157	6573
7157	5111
7157	3308
7157	891
7157	3481
7157	7015
7157	332
7157	7078
7157	330
7157	4846
7157	4830
7157	6916
7157	4322
7157	1509
2002	7124
2002	2064
2002	4609
2002	329
2002	6667
2002	367
2002	1958
2002	4602
2002	4790
2002	5327
2002	595
2002	6532
2002	11344
2002	330
2002	768
1386	7124
1386	3725
1386	7042
1386	1385
1386	596
1386	6667
1386	7020
1386	5327
1386	345
1386	595
1386	8900
1386	1026
1386	3630
1386	1584
1386	1081
