57488	23344
57488	83850
338699	5499
10994	10043
10994	6310
284297	11196
285590	356
257019	5018
51594	53407
51594	60561
123283	6897
9840	7532
9840	7534
9840	3710
9840	3708
10903	4093
55048	10038
55048	5316
55048	10174
55048	7251
55048	6455
55048	331
55048	1649
55048	6455
55048	10015
84626	2931
84626	5347
80006	27095
80006	51693
9778	7531
23019	4848
23019	4850
23019	9337
23019	4849
23019	10140
23019	23112
23019	10950
23019	23
23019	55361
23019	9125
23019	60313
23019	6386
23019	10766
23019	832
23019	829
23019	27125
23019	54998
23019	25904
23019	1656
23019	5468
554235	7169
23053	6310
9743	2885
9743	8440
9743	9666
9743	84445
9743	2904
9743	387
9743	5879
9743	6714
9755	9641
9755	9755
9755	9821
9755	2332
9755	23363
8773	8773
5704	5708
64147	55170
64147	5987
64147	9832
64147	653121
64147	84445
57409	56893
57409	9759
57409	5127
57409	5468
5567	3320
4598	4598
79810	22954
80830	64395
80830	54507
29970	60592
10921	1196
10921	6733
6925	1031
6925	114327
4282	4282
4282	55093
7993	7353
3796	3796
3796	79939
3796	6092
3796	8665
3796	80304
3796	8266
3796	57539
3796	27109
3796	1454
3796	220965
6446	10912
6446	2475
6446	7249
6446	253260
6446	1831
6446	5894
6446	23327
6446	65266
6446	221079
6446	5300
10212	10212
10212	79633
10212	7277
10212	5393
9124	9489
9124	5597
9124	9252
9124	87
8773	8775
8773	23390
8773	8773
8773	6845
8773	23557
8773	23673
8773	10228
9049	3665
9049	55191
9049	3320
9049	10672
3775	3775
3775	10312
3965	11342
3965	6558
3965	4238
3965	214
3965	5738
3965	5795
3965	6560
3965	4012
3965	10723
3965	22875
3965	79572
3965	961
3965	5781
3965	10325
3965	3321
3965	9847
3965	9019
3965	1182
3965	57670
3965	1464
9179	54921
9179	51106
9179	3615
9179	11154
9179	24149
9179	90580
9179	8535
9179	51642
9179	9836
9179	5898
9179	10717
9179	10368
8546	408
7099	7099
7099	4615
7099	114790
7099	3371
7099	6714
322	6310
322	334
3964	11342
3964	5786
3964	56996
3964	6558
3964	4238
3964	57670
3964	214
3964	23545
3964	54991
3964	5795
3964	6560
3964	10723
3964	1464
3964	6386
3964	112
3964	5738
3964	115
3964	63027
3964	2324
3964	1182
3964	22875
3964	4012
3964	196527
3964	79572
3964	206358
3964	57493
3964	961
3964	5818
3964	10325
3964	221935
3964	6505
3964	1317
8797	8795
8797	843
8797	8915
8797	7818
5717	4090
5717	4089
5717	4086
5717	5704
5717	5719
5717	5563
5717	5708
5717	5709
7844	7321
7844	51619
7844	65264
7844	7332
7844	7325
7844	7324
8535	8535
8535	7532
8535	10971
8535	1911
8535	80012
8535	4637
8535	55364
8535	7265
8535	1487
8535	1488
8535	7690
8665	6310
8665	2475
8665	8666
8665	1840
8665	10381
8665	90580
4147	6310
10671	84516
1112	6733
3843	23710
3843	3842
10733	30851
10733	10733
10733	8945
10733	50640
10733	10079
5296	2885
5296	5781
5296	5291
5296	2896
5296	26060
5296	60561
5296	5295
5296	8503
5296	23166
5296	54930
5296	1102
10640	3382
10640	10640
10640	23060
10640	54536
10640	23233
10640	149371
10640	79839
10213	5716
10213	5709
10213	5717
10213	5700
10213	55049
10213	29956
10213	7337
10213	166378
