EG_node1	EG_node2	Source
64080	C00117	metabosignal
C00117	221823	metabosignal
C00117	5634	metabosignal
C00117	5631	metabosignal
221823	C00119	metabosignal
5634	C00119	metabosignal
5631	C00119	metabosignal
5236	C00620	metabosignal
55276	C00620	metabosignal
64080	C00121	metabosignal
C00118	7086	metabosignal
C05345	7086	metabosignal
C00117	7086	metabosignal
C05382	7086	metabosignal
C00118	84076	metabosignal
C05345	84076	metabosignal
C00117	84076	metabosignal
C05382	84076	metabosignal
C00118	8277	metabosignal
C05345	8277	metabosignal
C00117	8277	metabosignal
C05382	8277	metabosignal
7086	C00231	metabosignal
84076	C00231	metabosignal
8277	C00231	metabosignal
C00117	22934	metabosignal
22934	C00199	metabosignal
C00231	6120	metabosignal
C00199	6120	metabosignal
C00231	729020	metabosignal
C00199	729020	metabosignal
230	C00279	metabosignal
226	C00279	metabosignal
229	C00279	metabosignal
7086	C00279	metabosignal
84076	C00279	metabosignal
8277	C00279	metabosignal
C00199	5226	metabosignal
C00345	5226	metabosignal
C01172	25796	metabosignal
C00345	25796	metabosignal
C01236	25796	metabosignal
C01172	9563	metabosignal
C00345	9563	metabosignal
C01236	9563	metabosignal
C01172	2539	metabosignal
C00345	2539	metabosignal
C01236	2539	metabosignal
C00345	414328	metabosignal
C00257	414328	metabosignal
C00257	9104	metabosignal
C00198	9104	metabosignal
C00118	6888	metabosignal
C05345	6888	metabosignal
C05382	6888	metabosignal
C00279	6888	metabosignal
217	C00258	metabosignal
224	C00258	metabosignal
219	C00258	metabosignal
501	C00258	metabosignal
223	C00258	metabosignal
C00631	132158	metabosignal
C00258	132158	metabosignal
C03033	2990	metabosignal
C03033	9365	metabosignal
C01068	729920	metabosignal
729920	C00789	metabosignal
C00231	9942	metabosignal
C00310	9942	metabosignal
C00267	231	metabosignal
C00532	231	metabosignal
C00267	57016	metabosignal
C00532	57016	metabosignal
231	C00259	metabosignal
57016	C00259	metabosignal
231	C00379	metabosignal
57016	C00379	metabosignal
C00379	51181	metabosignal
51181	C00312	metabosignal
231	C00181	metabosignal
57016	C00181	metabosignal
10327	C00800	metabosignal
9104	C00800	metabosignal
C00800	51084	metabosignal
51084	C00618	metabosignal
C00103	7360	metabosignal
C03033	10941	metabosignal
C00167	10941	metabosignal
C03033	79799	metabosignal
C00167	79799	metabosignal
C03033	7367	metabosignal
C00167	7367	metabosignal
C03033	10720	metabosignal
C00167	10720	metabosignal
C03033	54490	metabosignal
C00167	54490	metabosignal
C03033	54578	metabosignal
C00167	54578	metabosignal
C03033	54657	metabosignal
C00167	54657	metabosignal
C03033	54658	metabosignal
C00167	54658	metabosignal
C03033	54659	metabosignal
C00167	54659	metabosignal
C03033	7365	metabosignal
C00167	7365	metabosignal
C03033	54600	metabosignal
C00167	54600	metabosignal
C03033	7364	metabosignal
C00167	7364	metabosignal
C03033	54575	metabosignal
C00167	54575	metabosignal
C03033	54576	metabosignal
C00167	54576	metabosignal
C03033	54579	metabosignal
C00167	54579	metabosignal
C03033	7366	metabosignal
C00167	7366	metabosignal
C03033	54577	metabosignal
C00167	54577	metabosignal
C03033	7363	metabosignal
C00167	7363	metabosignal
C03033	574537	metabosignal
C00167	574537	metabosignal
7360	C00029	metabosignal
C00167	7358	metabosignal
C00029	7358	metabosignal
C00181	27294	metabosignal
C00310	6652	metabosignal
C00379	6652	metabosignal
231	C00794	metabosignal
57016	C00794	metabosignal
6652	C00794	metabosignal
3101	C00095	metabosignal
3098	C00095	metabosignal
3099	C00095	metabosignal
80201	C00095	metabosignal
6652	C00095	metabosignal
C00095	3795	metabosignal
3101	C00159	metabosignal
3098	C00159	metabosignal
3099	C00159	metabosignal
80201	C00159	metabosignal
5213	C00665	metabosignal
5214	C00665	metabosignal
5211	C00665	metabosignal
8789	C00665	metabosignal
C05345	57103	metabosignal
C00665	57103	metabosignal
C05345	5209	metabosignal
C00665	5209	metabosignal
C05345	5207	metabosignal
C00665	5207	metabosignal
C05345	5208	metabosignal
C00665	5208	metabosignal
C05345	5210	metabosignal
C00665	5210	metabosignal
3101	C00275	metabosignal
3098	C00275	metabosignal
3099	C00275	metabosignal
80201	C00275	metabosignal
C05345	4351	metabosignal
C00275	4351	metabosignal
C00275	5373	metabosignal
C00275	5372	metabosignal
5373	C00636	metabosignal
5372	C00636	metabosignal
C02985	8790	metabosignal
8790	C00325	metabosignal
C00325	7264	metabosignal
C01222	7264	metabosignal
C01222	2762	metabosignal
C00096	2762	metabosignal
C00636	29925	metabosignal
C00096	29925	metabosignal
C00636	29926	metabosignal
C00096	29926	metabosignal
230	C01094	metabosignal
226	C01094	metabosignal
229	C01094	metabosignal
3795	C01094	metabosignal
217	C00577	metabosignal
224	C00577	metabosignal
219	C00577	metabosignal
501	C00577	metabosignal
223	C00577	metabosignal
10327	C00577	metabosignal
230	C00577	metabosignal
226	C00577	metabosignal
229	C00577	metabosignal
231	C00577	metabosignal
57016	C00577	metabosignal
C00118	26007	metabosignal
C00111	26007	metabosignal
C00577	26007	metabosignal
C02985	197258	metabosignal
C01019	197258	metabosignal
C01720	55556	metabosignal
C00794	2717	metabosignal
C00159	2717	metabosignal
C01613	2717	metabosignal
5213	C01097	metabosignal
5214	C01097	metabosignal
5211	C01097	metabosignal
5213	C03785	metabosignal
5214	C03785	metabosignal
5211	C03785	metabosignal
2717	C05404	metabosignal
2717	C00089	metabosignal
C00095	6476	metabosignal
C00089	6476	metabosignal
C00095	2548	metabosignal
C00089	2548	metabosignal
C00095	2595	metabosignal
C00089	2595	metabosignal
C00095	8972	metabosignal
C00089	8972	metabosignal
C00095	93432	metabosignal
C00089	93432	metabosignal
2717	C00492	metabosignal
2717	C05402	metabosignal
130589	C00124	metabosignal
231	C00124	metabosignal
57016	C00124	metabosignal
2717	C00124	metabosignal
231	C01697	metabosignal
57016	C01697	metabosignal
2717	C05401	metabosignal
10327	C00116	metabosignal
231	C00116	metabosignal
57016	C00116	metabosignal
2717	C00116	metabosignal
2717	C05400	metabosignal
2717	C05399	metabosignal
2717	C01235	metabosignal
2717	C00137	metabosignal
C00267	3938	metabosignal
C00124	3938	metabosignal
C00243	3938	metabosignal
C00267	2720	metabosignal
C00124	2720	metabosignal
C00243	2720	metabosignal
C00243	3906	metabosignal
C00052	3906	metabosignal
C00243	8704	metabosignal
C00052	8704	metabosignal
C00243	2683	metabosignal
C00052	2683	metabosignal
C00029	2582	metabosignal
C00052	2582	metabosignal
C00103	2592	metabosignal
C00029	2592	metabosignal
C00052	2592	metabosignal
C00446	2592	metabosignal
130589	C00984	metabosignal
C00446	2584	metabosignal
C00984	2584	metabosignal
C00137	55586	metabosignal
9104	C01040	metabosignal
217	C02670	metabosignal
224	C02670	metabosignal
219	C02670	metabosignal
501	C02670	metabosignal
223	C02670	metabosignal
217	C00818	metabosignal
224	C00818	metabosignal
219	C00818	metabosignal
501	C00818	metabosignal
223	C00818	metabosignal
C05761	rn:R08159	metabosignal
rn:R08159	C06424	metabosignal
C05223	55301	metabosignal
55301	C02679	metabosignal
55301	C05755	metabosignal
55301	C05752	metabosignal
C05764	79993	metabosignal
C01209	79993	metabosignal
C05764	64834	metabosignal
C01209	64834	metabosignal
C05764	83401	metabosignal
C01209	83401	metabosignal
C05764	6785	metabosignal
C01209	6785	metabosignal
C05761	54995	metabosignal
C05223	54995	metabosignal
C05755	54995	metabosignal
C05752	54995	metabosignal
C05764	54995	metabosignal
C01209	54995	metabosignal
C05764	60481	metabosignal
C01209	60481	metabosignal
C05764	54898	metabosignal
C01209	54898	metabosignal
C05764	79071	metabosignal
C01209	79071	metabosignal
79993	C16219	metabosignal
64834	C16219	metabosignal
83401	C16219	metabosignal
6785	C16219	metabosignal
54995	C16219	metabosignal
60481	C16219	metabosignal
54898	C16219	metabosignal
79071	C16219	metabosignal
C00024	2194	metabosignal
C05761	2194	metabosignal
C05223	2194	metabosignal
C05755	2194	metabosignal
C05752	2194	metabosignal
C05764	2194	metabosignal
C01209	2194	metabosignal
54995	C05762	metabosignal
2194	C05762	metabosignal
54995	C05759	metabosignal
2194	C05759	metabosignal
54995	C05756	metabosignal
2194	C05756	metabosignal
54995	C05753	metabosignal
2194	C05753	metabosignal
54995	C05749	metabosignal
2194	C05749	metabosignal
54995	C05750	metabosignal
2194	C05750	metabosignal
54995	C05745	metabosignal
2194	C05745	metabosignal
54995	C05746	metabosignal
2194	C05746	metabosignal
2194	C00249	metabosignal
2194	C05763	metabosignal
2194	C04633	metabosignal
2194	C05760	metabosignal
2194	C04688	metabosignal
2194	C05758	metabosignal
2194	C05757	metabosignal
2194	C05754	metabosignal
2194	C04619	metabosignal
2194	C05751	metabosignal
2194	C04620	metabosignal
2194	C05748	metabosignal
2194	C05747	metabosignal
2194	C04246	metabosignal
2194	C04618	metabosignal
54995	C05744	metabosignal
2194	C05744	metabosignal
54995	C03939	metabosignal
2194	C03939	metabosignal
79993	C00083	metabosignal
64834	C00083	metabosignal
83401	C00083	metabosignal
6785	C00083	metabosignal
60481	C00083	metabosignal
54898	C00083	metabosignal
79071	C00083	metabosignal
2194	C00083	metabosignal
C01209	27349	metabosignal
C00083	27349	metabosignal
2194	C00229	metabosignal
C00024	31	metabosignal
C00083	31	metabosignal
C00024	32	metabosignal
C00083	32	metabosignal
C00249	23305	metabosignal
C00249	11001	metabosignal
C00249	2182	metabosignal
C00249	2180	metabosignal
C00249	51703	metabosignal
C00249	2181	metabosignal
C00249	23205	metabosignal
C00249	81616	metabosignal
79993	C00154	metabosignal
64834	C00154	metabosignal
83401	C00154	metabosignal
6785	C00154	metabosignal
60481	C00154	metabosignal
54898	C00154	metabosignal
79071	C00154	metabosignal
23305	C00154	metabosignal
11001	C00154	metabosignal
2182	C00154	metabosignal
2180	C00154	metabosignal
51703	C00154	metabosignal
2181	C00154	metabosignal
23205	C00154	metabosignal
81616	C00154	metabosignal
C00249	122970	metabosignal
C00154	122970	metabosignal
C00249	5538	metabosignal
C00154	5538	metabosignal
C00249	10965	metabosignal
C00154	10965	metabosignal
C00249	9374	metabosignal
C00154	9374	metabosignal
C00249	570	metabosignal
C00154	570	metabosignal
C00249	641371	metabosignal
C00154	641371	metabosignal
C00249	11332	metabosignal
C00154	11332	metabosignal
C00154	55825	metabosignal
C05272	55825	metabosignal
C00154	51102	metabosignal
C05272	51102	metabosignal
C05272	1892	metabosignal
C05258	1892	metabosignal
C05272	1962	metabosignal
C05258	1962	metabosignal
C05272	3030	metabosignal
C05258	3030	metabosignal
1962	C05259	metabosignal
3030	C05259	metabosignal
C05258	3033	metabosignal
C05259	3033	metabosignal
C05258	3028	metabosignal
C05259	3028	metabosignal
C05258	3295	metabosignal
C05259	3295	metabosignal
55825	C02593	metabosignal
51102	C02593	metabosignal
C00024	30	metabosignal
C05259	30	metabosignal
C02593	30	metabosignal
C00024	10449	metabosignal
C05259	10449	metabosignal
C02593	10449	metabosignal
C00024	3032	metabosignal
C05259	3032	metabosignal
C02593	3032	metabosignal
55825	C05273	metabosignal
51102	C05273	metabosignal
1892	C05273	metabosignal
1962	C05273	metabosignal
3030	C05273	metabosignal
1892	C05260	metabosignal
1962	C05260	metabosignal
3030	C05260	metabosignal
3033	C05260	metabosignal
3028	C05260	metabosignal
3295	C05260	metabosignal
1962	C05261	metabosignal
3030	C05261	metabosignal
3033	C05261	metabosignal
3028	C05261	metabosignal
3295	C05261	metabosignal
30	C05261	metabosignal
10449	C05261	metabosignal
3032	C05261	metabosignal
55825	C01832	metabosignal
51102	C01832	metabosignal
30	C01832	metabosignal
10449	C01832	metabosignal
3032	C01832	metabosignal
55825	C03221	metabosignal
51102	C03221	metabosignal
1892	C03221	metabosignal
1962	C03221	metabosignal
3030	C03221	metabosignal
1892	C05262	metabosignal
1962	C05262	metabosignal
3030	C05262	metabosignal
3033	C05262	metabosignal
3028	C05262	metabosignal
3295	C05262	metabosignal
1962	C05263	metabosignal
3030	C05263	metabosignal
3033	C05263	metabosignal
3028	C05263	metabosignal
3295	C05263	metabosignal
30	C05263	metabosignal
10449	C05263	metabosignal
3032	C05263	metabosignal
55825	C05274	metabosignal
51102	C05274	metabosignal
30	C05274	metabosignal
10449	C05274	metabosignal
3032	C05274	metabosignal
55825	C05275	metabosignal
51102	C05275	metabosignal
1892	C05275	metabosignal
1962	C05275	metabosignal
3030	C05275	metabosignal
1892	C05264	metabosignal
1962	C05264	metabosignal
3030	C05264	metabosignal
3033	C05264	metabosignal
3028	C05264	metabosignal
3295	C05264	metabosignal
1962	C05265	metabosignal
3030	C05265	metabosignal
3033	C05265	metabosignal
3028	C05265	metabosignal
3295	C05265	metabosignal
30	C05265	metabosignal
10449	C05265	metabosignal
3032	C05265	metabosignal
55825	C01944	metabosignal
51102	C01944	metabosignal
30	C01944	metabosignal
10449	C01944	metabosignal
3032	C01944	metabosignal
55825	C05276	metabosignal
51102	C05276	metabosignal
1892	C05276	metabosignal
1962	C05276	metabosignal
3030	C05276	metabosignal
1892	C05266	metabosignal
1962	C05266	metabosignal
3030	C05266	metabosignal
3033	C05266	metabosignal
3028	C05266	metabosignal
3295	C05266	metabosignal
1962	C05267	metabosignal
3030	C05267	metabosignal
3033	C05267	metabosignal
3028	C05267	metabosignal
3295	C05267	metabosignal
30	C05267	metabosignal
10449	C05267	metabosignal
3032	C05267	metabosignal
55825	C05270	metabosignal
51102	C05270	metabosignal
30	C05270	metabosignal
10449	C05270	metabosignal
3032	C05270	metabosignal
55825	C05271	metabosignal
51102	C05271	metabosignal
1892	C05271	metabosignal
1962	C05271	metabosignal
3030	C05271	metabosignal
1892	C05268	metabosignal
1962	C05268	metabosignal
3030	C05268	metabosignal
3033	C05268	metabosignal
3028	C05268	metabosignal
3295	C05268	metabosignal
1962	C05269	metabosignal
3030	C05269	metabosignal
3033	C05269	metabosignal
3028	C05269	metabosignal
3295	C05269	metabosignal
30	C05269	metabosignal
10449	C05269	metabosignal
3032	C05269	metabosignal
30	C00136	metabosignal
10449	C00136	metabosignal
3032	C00136	metabosignal
C00024	39	metabosignal
C05269	39	metabosignal
C00136	39	metabosignal
C00024	38	metabosignal
C05269	38	metabosignal
C00136	38	metabosignal
1962	C00264	metabosignal
3030	C00264	metabosignal
3033	C00264	metabosignal
3028	C00264	metabosignal
3295	C00264	metabosignal
30	C00264	metabosignal
10449	C00264	metabosignal
3032	C00264	metabosignal
1892	C00640	metabosignal
1962	C00640	metabosignal
3030	C00640	metabosignal
3033	C00640	metabosignal
3028	C00640	metabosignal
3295	C00640	metabosignal
55825	C00658	metabosignal
