EG_node1	EG_node2	Source
3717	2495	ppi
3717	2235	ppi
3717	8204	ppi
3717	5606	ppi
3717	4734	ppi
5192	1819	ppi
6643	261734	ppi
6643	64216	ppi
6643	2495	ppi
9595	65080	ppi
10043	392	ppi
10206	3161	ppi
3364	64127	ppi
5201	6227	ppi
5201	9747	ppi
5201	8506	ppi
23046	55746	ppi
23046	23637	ppi
23046	2752	ppi
23046	55004	ppi
23046	2931	ppi
9722	4313	ppi
9722	10342	ppi
863	10318	ppi
863	4832	ppi
863	55697	ppi
9026	7844	ppi
26039	8575	ppi
4616	5160	ppi
6451	2495	ppi
55660	7203	ppi
55660	26973	ppi
55660	7791	ppi
55660	994	ppi
6867	7203	ppi
6867	203054	ppi
6867	57704	ppi
6867	2746	ppi
6867	6249	ppi
64599	3661	ppi
10651	56341	ppi
10651	1196	ppi
10651	112495	ppi
11104	92421	ppi
11104	4238	ppi
11104	117178	ppi
11104	961	ppi
11104	8820	ppi
11104	5781	ppi
11104	10294	ppi
11104	5165	ppi
4722	11319	ppi
4722	6814	ppi
4722	25949	ppi
4722	10360	ppi
10474	4089	ppi
23451	10652	ppi
23451	5573	ppi
11193	8514	ppi
8676	7329	ppi
8676	1213	ppi
9252	2314	ppi
9252	10971	ppi
10001	64787	ppi
261726	27246	ppi
8481	6751	ppi
8481	169611	ppi
8481	80851	ppi
8481	10379	ppi
8481	585	ppi
8481	120892	ppi
8481	89848	ppi
8481	10733	ppi
8481	80344	ppi
8481	6222	ppi
8481	55011	ppi
8481	3454	ppi
8481	57492	ppi
5495	4194	ppi
8576	599	ppi
10159	4296	ppi
10159	10193	ppi
10159	55746	ppi
10159	2149	ppi
10159	57492	ppi
10159	292	ppi
10159	4351	ppi
10159	80817	ppi
10159	291	ppi
10159	5049	ppi
10159	10865	ppi
10159	824	ppi
10159	5832	ppi
10159	150684	ppi
10159	4665	ppi
10159	126433	ppi
10159	5723	ppi
10159	200765	ppi
10159	6154	ppi
10159	92344	ppi
10159	51496	ppi
10159	84708	ppi
10159	10741	ppi
10159	26355	ppi
8666	23598	ppi
8666	4350	ppi
8666	93380	ppi
8669	8766	ppi
8669	93380	ppi
5716	27072	ppi
5716	8546	ppi
5884	64127	ppi
5884	863	ppi
5884	5877	ppi
10539	10112	ppi
10539	8658	ppi
10539	5603	ppi
9025	1457	ppi
9025	84061	ppi
9025	11143	ppi
9025	9759	ppi
1677	5718	ppi
9262	22808	ppi
9262	26355	ppi
9262	81493	ppi
9262	8624	ppi
9262	9948	ppi
7398	81559	ppi
7398	85365	ppi
9878	93611	ppi
10725	9595	ppi
10725	4850	ppi
5218	9423	ppi
22888	9759	ppi
22888	805	ppi
22888	808	ppi
22883	29098	ppi
22995	3845	ppi
22995	80179	ppi
100861412	6780	ppi
9966	79650	ppi
10277	805	ppi
10277	808	ppi
10277	3310	ppi
8518	51073	ppi
8518	55103	ppi
8518	4194	ppi
8518	7920	ppi
11130	8767	ppi
11130	51434	ppi
11130	30000	ppi
11130	5001	ppi
11130	57658	ppi
11130	23411	ppi
11130	284058	ppi
11130	2746	ppi
11130	5884	ppi
11130	768211	ppi
11130	112858	ppi
11130	3455	ppi
11130	8396	ppi
11130	63943	ppi
11130	5707	ppi
11130	129285	ppi
11130	55011	ppi
10112	9134	ppi
10112	130535	ppi
10112	4535	ppi
10112	24140	ppi
10112	55503	ppi
10112	805	ppi
10112	808	ppi
10112	6942	ppi
10912	5160	ppi
8658	9134	ppi
8658	5201	ppi
23557	79058	ppi
23557	166379	ppi
23557	7920	ppi
10592	54512	ppi
9372	2902	ppi
9530	8881	ppi
8624	81932	ppi
19	10109	ppi
10412	23613	ppi
4850	7039	ppi
10775	59338	ppi
8924	54583	ppi
8924	166379	ppi
8924	55905	ppi
8924	2066	ppi
23641	1233	ppi
23641	29091	ppi
160	7844	ppi
160	119504	ppi
160	392	ppi
6780	2911	ppi
6780	9021	ppi
6780	6227	ppi
6780	5795	ppi
6780	840	ppi
6780	3680	ppi
7268	55327	ppi
7268	79960	ppi
7268	64216	ppi
9113	10579	ppi
9113	5160	ppi
30008	3310	ppi
8915	23354	ppi
8915	23404	ppi
8915	4194	ppi
9421	7132	ppi
11200	6095	ppi
9134	22978	ppi
3939	259	ppi
3939	11222	ppi
3939	5097	ppi
5230	5520	ppi
2353	7169	ppi
2353	8204	ppi
2353	55308	ppi
2353	2902	ppi
2353	998	ppi
2353	55697	ppi
2353	2314	ppi
3265	11133	ppi
3265	7531	ppi
3265	5786	ppi
3845	348995	ppi
3845	51154	ppi
3845	23637	ppi
3845	10294	ppi
3845	23112	ppi
7039	6775	ppi
2495	140710	ppi
5894	5468	ppi
5894	2444	ppi
5894	2495	ppi
5894	3800	ppi
5894	10724	ppi
5894	3667	ppi
5894	6347	ppi
4914	2235	ppi
4914	1020	ppi
4914	324	ppi
4914	8325	ppi
9636	23645	ppi
9636	5687	ppi
9636	259	ppi
9636	8204	ppi
9636	1457	ppi
9636	805	ppi
9636	808	ppi
6181	23635	ppi
6181	64969	ppi
6181	71	ppi
6181	1982	ppi
6175	7525	ppi
6175	23635	ppi
6175	64969	ppi
6175	71	ppi
6175	5747	ppi
6175	1982	ppi
5579	4194	ppi
5579	868	ppi
2534	4313	ppi
2534	10454	ppi
2534	27252	ppi
2534	284403	ppi
2534	2021	ppi
2534	6670	ppi
2534	10672	ppi
2534	3326	ppi
2534	9810	ppi
2534	7170	ppi
5757	1272	ppi
5757	6884	ppi
7170	9015	ppi
7170	56342	ppi
7170	57592	ppi
302	5515	ppi
353	6628	ppi
3320	79873	ppi
3320	51074	ppi
3320	51272	ppi
3320	6657	ppi
3320	23016	ppi
3320	4194	ppi
3320	9015	ppi
3320	10017	ppi
3320	440	ppi
3320	27107	ppi
3320	6224	ppi
3320	29761	ppi
3320	10775	ppi
3320	6095	ppi
3320	6558	ppi
3320	7169	ppi
3320	9525	ppi
3320	3241	ppi
3320	6782	ppi
3320	387	ppi
3320	994	ppi
3320	4313	ppi
3320	408	ppi
3320	805	ppi
3320	808	ppi
3320	3738	ppi
3320	1649	ppi
3320	5774	ppi
3320	6640	ppi
3320	4170	ppi
7525	4313	ppi
5979	4734	ppi
5979	257218	ppi
5979	2235	ppi
5979	4205	ppi
7169	3434	ppi
3326	6657	ppi
3326	9015	ppi
3326	23016	ppi
3326	23404	ppi
3326	2004	ppi
3326	3796	ppi
3326	2975	ppi
3326	1937	ppi
3326	51228	ppi
3326	5165	ppi
3326	27107	ppi
3326	3241	ppi
440	3099	ppi
4313	6234	ppi
5160	3416	ppi
6218	23635	ppi
3921	64175	ppi
3921	1869	ppi
3921	147040	ppi
11222	9692	ppi
2247	1937	ppi
2950	23404	ppi
2950	5900	ppi
2950	5780	ppi
1212	7334	ppi
1212	2580	ppi
1212	83548	ppi
1212	7114	ppi
1212	4296	ppi
1212	10671	ppi
1212	8924	ppi
1212	23523	ppi
1212	84680	ppi
1212	10096	ppi
5159	324	ppi
5159	2235	ppi
5159	10062	ppi
5159	3843	ppi
5159	4313	ppi
5159	8204	ppi
5159	688	ppi
5159	8894	ppi
5159	5898	ppi
1440	25839	ppi
6399	6449	ppi
3304	6558	ppi
3304	3241	ppi
3304	64802	ppi
3304	805	ppi
3304	808	ppi
3304	2314	ppi
3304	60528	ppi
2737	6249	ppi
369	2444	ppi
369	5468	ppi
369	7905	ppi
369	6347	ppi
6696	7030	ppi
6696	2931	ppi
5573	23092	ppi
5573	5236	ppi
7068	4282	ppi
7068	8412	ppi
5898	23645	ppi
5898	5989	ppi
5898	10651	ppi
5898	54809	ppi
5898	8576	ppi
613	7531	ppi
613	5127	ppi
2078	6227	ppi
2260	2235	ppi
8266	2931	ppi
8266	84254	ppi
8266	805	ppi
8266	808	ppi
8266	216	ppi
1019	22978	ppi
1019	27258	ppi
1019	2902	ppi
1019	51529	ppi
1019	23647	ppi
1019	1272	ppi
293	25949	ppi
652	5547	ppi
6497	64400	ppi
6497	8412	ppi
6497	2902	ppi
6497	5433	ppi
6497	6925	ppi
87	79621	ppi
87	3397	ppi
6714	8514	ppi
6714	10454	ppi
6714	6737	ppi
6714	4194	ppi
6714	4005	ppi
6714	4313	ppi
6714	2495	ppi
6714	284403	ppi
6714	4734	ppi
6714	835	ppi
6714	1649	ppi
6714	5898	ppi
6714	1020	ppi
6714	9810	ppi
6714	9180	ppi
6714	9686	ppi
6714	9815	ppi
6714	3914	ppi
6714	324	ppi
6714	5433	ppi
6714	7170	ppi
6714	23421	ppi
6714	79088	ppi
3574	94	ppi
7178	6125	ppi
7178	638	ppi
4282	6125	ppi
6628	6161	ppi
6628	2644	ppi
6628	8575	ppi
3554	7083	ppi
673	7905	ppi
673	2888	ppi
673	5786	ppi
673	2444	ppi
5817	91544	ppi
5880	4163	ppi
3096	2902	ppi
6187	7110	ppi
6187	147040	ppi
6925	4832	ppi
6925	4915	ppi
6925	64682	ppi
6925	7132	ppi
6925	23176	ppi
2241	689	ppi
2241	2495	ppi
3575	94	ppi
3925	3434	ppi
3454	6249	ppi
5578	91	ppi
5578	5064	ppi
5578	2495	ppi
5578	22800	ppi
5578	6733	ppi
5578	372	ppi
5578	10672	ppi
5578	55275	ppi
5578	1272	ppi
5578	3300	ppi
3726	4089	ppi
5566	5236	ppi
5566	3454	ppi
5566	6310	ppi
5566	120892	ppi
5566	10017	ppi
5566	2314	ppi
5566	22800	ppi
5566	5579	ppi
5566	4848	ppi
5566	2495	ppi
5566	10318	ppi
5702	27072	ppi
5702	2633	ppi
5702	8546	ppi
5702	7041	ppi
5702	81875	ppi
5702	10945	ppi
5702	47	ppi
5702	1635	ppi
5702	5831	ppi
5702	5013	ppi
5702	9093	ppi
6950	8402	ppi
6950	842	ppi
6950	8870	ppi
6950	79048	ppi
5770	3985	ppi
5770	5127	ppi
5770	5898	ppi
5770	4665	ppi
5770	2149	ppi
5770	5723	ppi
5770	291	ppi
5770	8899	ppi
5770	9372	ppi
5770	130340	ppi
2068	1796	ppi
3693	5579	ppi
3693	23588	ppi
6129	64969	ppi
6129	5599	ppi
6129	23635	ppi
6129	71	ppi
5786	1020	ppi
5786	2618	ppi
6139	11224	ppi
6139	3738	ppi
6139	5747	ppi
6139	5601	ppi
6139	64969	ppi
6139	71	ppi
6139	23635	ppi
6139	5521	ppi
5223	7905	ppi
467	998	ppi
467	7169	ppi
467	3741	ppi
467	4734	ppi
467	60490	ppi
467	2902	ppi
467	10318	ppi
468	64754	ppi
468	7169	ppi
468	7165	ppi
468	2582	ppi
468	55275	ppi
468	4089	ppi
22926	9787	ppi
5335	9817	ppi
5335	6670	ppi
5335	2495	ppi
5335	4602	ppi
5335	257218	ppi
5335	80254	ppi
5432	3339	ppi
5432	6917	ppi
7132	23404	ppi
7132	2495	ppi
7132	1020	ppi
7132	6046	ppi
6737	22878	ppi
6737	9759	ppi
5610	740	ppi
5610	2653	ppi
6908	5717	ppi
6908	55095	ppi
6908	598	ppi
6908	64434	ppi
6908	7169	ppi
6908	3399	ppi
6908	6133	ppi
6908	2314	ppi
6908	130399	ppi
7133	9686	ppi
5868	8412	ppi
5868	624	ppi
5868	9409	ppi
5870	6455	ppi
5870	373	ppi
6863	6470	ppi
4074	9911	ppi
602	10318	ppi
602	5433	ppi
5763	2534	ppi
984	1639	ppi
984	11200	ppi
984	156	ppi
7128	54821	ppi
7128	6046	ppi
7128	23212	ppi
7128	23016	ppi
4254	355	ppi
6303	3614	ppi
7052	5213	ppi
7052	4792	ppi
7052	6227	ppi
3738	8761	ppi
2618	1656	ppi
3586	4998	ppi
7317	121441	ppi
7317	9759	ppi
7317	79954	ppi
7317	84061	ppi
4831	2621	ppi
654364	2621	ppi
3739	6128	ppi
3739	6775	ppi
3741	6128	ppi
3741	10728	ppi
5989	10318	ppi
5567	120892	ppi
5567	10379	ppi
5567	216	ppi
5567	9144	ppi
5567	5236	ppi
5567	56943	ppi
5567	3454	ppi
2235	4140	ppi
6917	11146	ppi
6917	5608	ppi
6917	598	ppi
7283	5763	ppi
7283	8870	ppi
7283	23113	ppi
7283	8396	ppi
7283	80185	ppi
7283	3241	ppi
7283	60559	ppi
7283	842	ppi
7283	7486	ppi
7283	8916	ppi
7283	8402	ppi
7283	51776	ppi
7283	6640	ppi
7283	64762	ppi
7283	663	ppi
7283	6884	ppi
7283	4849	ppi
3716	1020	ppi
3716	5818	ppi
3716	8204	ppi
4163	55095	ppi
191	5692	ppi
9235	1843	ppi
9235	2975	ppi
898	5160	ppi
898	3667	ppi
898	2932	ppi
898	1272	ppi
324	5536	ppi
324	120892	ppi
324	26058	ppi
324	5001	ppi
324	23413	ppi
6206	23635	ppi
6206	5599	ppi
6206	64969	ppi
6046	204851	ppi
6046	5152	ppi
6046	6235	ppi
355	2107	ppi
5684	2644	ppi
5684	9666	ppi
5684	1635	ppi
5684	27072	ppi
5684	5015	ppi
5684	10945	ppi
5684	47	ppi
5684	5831	ppi
5684	81875	ppi
5684	7041	ppi
5684	5013	ppi
5684	9093	ppi
4792	2314	ppi
4792	5976	ppi
4792	10181	ppi
4792	5874	ppi
4792	84916	ppi
4792	6136	ppi
4792	9759	ppi
1656	51307	ppi
6137	840	ppi
6137	6452	ppi
6137	5747	ppi
6137	1982	ppi
6137	11224	ppi
6137	5795	ppi
6137	2079	ppi
6137	23635	ppi
6137	3738	ppi
6137	7318	ppi
6137	71	ppi
6137	64969	ppi
7407	29935	ppi
1937	7538	ppi
1937	1945	ppi
1937	29935	ppi
3563	369	ppi
92	6374	ppi
10971	5594	ppi
10971	10413	ppi
10971	222484	ppi
10971	7531	ppi
10971	5468	ppi
10971	166379	ppi
5595	7283	ppi
5595	3267	ppi
5595	2888	ppi
5595	7203	ppi
5595	4676	ppi
5595	7881	ppi
5595	5481	ppi
5595	5159	ppi
5595	9372	ppi
5595	3434	ppi
5595	2931	ppi
5595	54784	ppi
5595	10628	ppi
5595	4915	ppi
5595	6303	ppi
5595	2752	ppi
5595	10023	ppi
5595	3663	ppi
4140	7709	ppi
5295	4005	ppi
5295	729230	ppi
5295	257218	ppi
5295	1020	ppi
5295	2495	ppi
5295	3956	ppi
5295	9836	ppi
5295	440	ppi
5295	324	ppi
5686	10945	ppi
5686	47	ppi
5686	1635	ppi
5686	2633	ppi
5686	5831	ppi
5686	81875	ppi
5686	7041	ppi
5686	8546	ppi
5686	5013	ppi
5686	9093	ppi
5692	47	ppi
5692	5013	ppi
5692	5831	ppi
5692	7041	ppi
5692	5296	ppi
5692	8546	ppi
5692	81932	ppi
5692	5015	ppi
5693	10945	ppi
5693	2644	ppi
5693	81875	ppi
5693	1635	ppi
5693	5831	ppi
5693	8546	ppi
5693	7041	ppi
5693	5013	ppi
3351	57120	ppi
5594	7283	ppi
5594	9202	ppi
5594	55014	ppi
5594	4734	ppi
5594	6050	ppi
5594	7021	ppi
1843	10097	ppi
1843	5663	ppi
6257	8568	ppi
6257	10427	ppi
6257	1233	ppi
2896	10112	ppi
2896	829	ppi
910	1911	ppi
3612	10419	ppi
2048	324	ppi
834	2887	ppi
834	7083	ppi
834	5429	ppi
6136	840	ppi
6136	6452	ppi
6136	10461	ppi
6136	5747	ppi
6136	3476	ppi
6136	1982	ppi
6136	5601	ppi
6136	11224	ppi
6136	5795	ppi
6136	2079	ppi
6136	3738	ppi
6136	64969	ppi
6136	5599	ppi
6136	71	ppi
6136	23635	ppi
6136	7318	ppi
6136	7317	ppi
894	1272	ppi
896	6541	ppi
7465	10524	ppi
7465	5160	ppi
994	5468	ppi
994	79840	ppi
994	2946	ppi
994	28964	ppi
994	5160	ppi
994	9202	ppi
3301	5704	ppi
6133	79661	ppi
6133	64969	ppi
6133	71	ppi
6133	23635	ppi
6133	5599	ppi
4261	3028	ppi
1003	835	ppi
1003	9810	ppi
1003	3397	ppi
3799	55719	ppi
3799	291	ppi
3799	8412	ppi
1164	160	ppi
7272	2079	ppi
7272	6856	ppi
6119	6227	ppi
6119	9975	ppi
5982	5877	ppi
2962	598	ppi
2962	6050	ppi
2645	6794	ppi
3667	7021	ppi
3667	8514	ppi
9276	2975	ppi
9276	1163	ppi
9276	11034	ppi
1649	23295	ppi
1649	348995	ppi
1649	64754	ppi
1649	10318	ppi
5701	27072	ppi
5701	2633	ppi
5701	7041	ppi
5701	8546	ppi
5701	2644	ppi
5701	81875	ppi
5701	10945	ppi
5701	47	ppi
5701	5831	ppi
5701	1635	ppi
5701	9093	ppi
5701	5013	ppi
5701	3310	ppi
5701	842	ppi
403	23396	ppi
373	5566	ppi
373	9759	ppi
5236	55626	ppi
657	6196	ppi
657	5547	ppi
91	3304	ppi
5468	118813	ppi
5468	54809	ppi
5468	1003	ppi
672	5469	ppi
672	80304	ppi
672	6430	ppi
672	8654	ppi
672	10014	ppi
672	8896	ppi
672	6950	ppi
672	1212	ppi
672	2902	ppi
672	6143	ppi
672	6917	ppi
672	9759	ppi
672	23281	ppi
672	23176	ppi
672	84061	ppi
672	79954	ppi
672	1457	ppi
672	26061	ppi
672	57649	ppi
672	6924	ppi
523	29945	ppi
523	3977	ppi
523	2149	ppi
523	11193	ppi
3397	26270	ppi
3397	7132	ppi
3397	6733	ppi
3397	5223	ppi
2119	6050	ppi
1445	2495	ppi
1445	7169	ppi
3376	64175	ppi
3376	10245	ppi
3376	9045	ppi
729230	6890	ppi
5584	84456	ppi
5584	7905	ppi
5584	84256	ppi
5584	7057	ppi
5584	4194	ppi
6772	2495	ppi
6772	1890	ppi
6772	4734	ppi
6772	8204	ppi
6772	2653	ppi
6772	4089	ppi
6778	4089	ppi
5290	4005	ppi
5290	51479	ppi
5290	440	ppi
2475	7021	ppi
2475	23404	ppi
2475	23113	ppi
2475	7850	ppi
2475	4734	ppi
5297	50855	ppi
2060	84680	ppi
2060	8924	ppi
2060	10096	ppi
2060	22797	ppi
4300	6228	ppi
4300	6222	ppi
836	5052	ppi
836	9815	ppi
836	2107	ppi
835	4598	ppi
835	2107	ppi
2444	2495	ppi
11224	5795	ppi
11224	3738	ppi
11224	71	ppi
11224	2079	ppi
11224	5599	ppi
11224	27018	ppi
11224	7317	ppi
5048	408	ppi
5780	49855	ppi
5704	2633	ppi
5704	8546	ppi
5704	7041	ppi
5704	10945	ppi
5704	81875	ppi
5704	47	ppi
5704	5831	ppi
5704	5013	ppi
5704	9093	ppi
5599	7169	ppi
5599	810	ppi
5599	9641	ppi
5599	7850	ppi
5599	2888	ppi
5599	2902	ppi
5599	51693	ppi
5599	9777	ppi
5599	29763	ppi
5599	3996	ppi
5599	4734	ppi
5599	23404	ppi
5599	10971	ppi
5599	10542	ppi
5601	7169	ppi
5601	2495	ppi
5601	9641	ppi
5601	23404	ppi
5601	10542	ppi
5601	7283	ppi
5601	10640	ppi
5601	5663	ppi
4905	3697	ppi
4905	25855	ppi
1027	2048	ppi
1027	23404	ppi
5606	9202	ppi
6125	3738	ppi
6125	5795	ppi
6125	2079	ppi
6125	64969	ppi
6125	5599	ppi
6125	7525	ppi
6125	71	ppi
6144	11224	ppi
6144	5795	ppi
6144	2079	ppi
6144	3738	ppi
6144	5747	ppi
6144	1982	ppi
6144	64969	ppi
6144	5599	ppi
6144	71	ppi
6144	23635	ppi
6144	5601	ppi
6144	7318	ppi
6144	27018	ppi
6144	5521	ppi
6158	5599	ppi
6158	23635	ppi
6158	7525	ppi
6203	7110	ppi
6203	71	ppi
6204	64969	ppi
6204	5599	ppi
6204	23635	ppi
4734	23212	ppi
4734	3661	ppi
4734	9244	ppi
4734	57599	ppi
4734	9759	ppi
10413	7905	ppi
10413	54521	ppi
10413	11130	ppi
10413	57459	ppi
10413	9743	ppi
10413	6249	ppi
10413	55697	ppi
356	2954	ppi
356	2107	ppi
356	1020	ppi
6657	684	ppi
6657	5433	ppi
6657	8412	ppi
6657	7156	ppi
6657	9525	ppi
6657	65108	ppi
3455	8204	ppi
8204	5433	ppi
8204	10371	ppi
8204	10318	ppi
8204	2534	ppi
5425	28957	ppi
819	2495	ppi
7182	4733	ppi
7182	5433	ppi
9261	9202	ppi
9261	4734	ppi
1725	3267	ppi
7203	6125	ppi
7203	5875	ppi
7203	842	ppi
7203	8870	ppi
7203	79048	ppi
9801	9692	ppi
408	10121	ppi
408	1848	ppi
408	392	ppi
408	3843	ppi
408	4783	ppi
408	2495	ppi
408	3593	ppi
997	5310	ppi
997	22978	ppi
9647	1639	ppi
1454	8555	ppi
102800317	8555	ppi
1454	3115	ppi
102800317	3115	ppi
1454	51154	ppi
102800317	51154	ppi
1454	7296	ppi
102800317	7296	ppi
