name	Source
8061	DIAMOnD
83439	DIAMOnD
4316	DIAMOnD
6934	DIAMOnD
332	DIAMOnD
9021	DIAMOnD
1499	DIAMOnD
6319	DIAMOnD
30837	DIAMOnD
7350	DIAMOnD
3939	DIAMOnD
89874	DIAMOnD
754	DIAMOnD
1636	DIAMOnD
5551	DIAMOnD
328	DIAMOnD
8570	DIAMOnD
8607	DIAMOnD
8209	DIAMOnD
4830	DIAMOnD
1027	DIAMOnD
4170	DIAMOnD
7424	DIAMOnD
405	DIAMOnD
5230	DIAMOnD
2023	DIAMOnD
2026	DIAMOnD
2597	DIAMOnD
2034	DIAMOnD
7039	DIAMOnD
768	DIAMOnD
5228	DIAMOnD
9306	DIAMOnD
3099	DIAMOnD
7332	DIAMOnD
2205	DIAMOnD
5771	DIAMOnD
7297	DIAMOnD
122809	DIAMOnD
3716	DIAMOnD
3880	DIAMOnD
933	DIAMOnD
5452	DIAMOnD
3687	DIAMOnD
973	DIAMOnD
1831	DIAMOnD
7412	DIAMOnD
4791	DIAMOnD
329	DIAMOnD
330	DIAMOnD
959	DIAMOnD
7051	DIAMOnD
4057	DIAMOnD
5284	DIAMOnD
5971	DIAMOnD
2623	DIAMOnD
1053	DIAMOnD
4353	DIAMOnD
5371	DIAMOnD
8900	DIAMOnD
1056	DIAMOnD
4261	DIAMOnD
5209	DIAMOnD
8795	DIAMOnD
2064	DIAMOnD
5730	DIAMOnD
10648	DIAMOnD
567	DIAMOnD
1736	DIAMOnD
3988	DIAMOnD
6556	DIAMOnD
2805	DIAMOnD
1645	DIAMOnD
921	DIAMOnD
920	DIAMOnD
124872	DIAMOnD
1509	DIAMOnD
2	DIAMOnD
1655	DIAMOnD
790	DIAMOnD
3308	DIAMOnD
5175	DIAMOnD
142	DIAMOnD
5920	DIAMOnD
56729	DIAMOnD
6590	DIAMOnD
4586	DIAMOnD
6609	DIAMOnD
3818	DIAMOnD
5079	DIAMOnD
1551	DIAMOnD
1178	DIAMOnD
4332	DIAMOnD
10148	DIAMOnD
54575	DIAMOnD
64321	DIAMOnD
250	DIAMOnD
6707	DIAMOnD
9982	DIAMOnD
3122	DIAMOnD
695	DIAMOnD
7352	DIAMOnD
1048	DIAMOnD
6617	DIAMOnD
5211	DIAMOnD
2027	DIAMOnD
9332	DIAMOnD
10501	DIAMOnD
4435	DIAMOnD
26229	DIAMOnD
4311	DIAMOnD
3201	DIAMOnD
3204	DIAMOnD
1991	DIAMOnD
3291	DIAMOnD
5980	DIAMOnD
9156	DIAMOnD
351	DIAMOnD
354	DIAMOnD
5111	DIAMOnD
875	DIAMOnD
5972	DIAMOnD
4282	DIAMOnD
2645	DIAMOnD
5933	DIAMOnD
1875	DIAMOnD
7043	DIAMOnD
4087	DIAMOnD
